del_temp,del_time
18.153208292201384,Jan
21.14,Feb
24.650000000000002,Mar
28.232374100719422,Apr
30.04861111111111,May
29.749847405900304,Jun
28.47692307692308,Jul
28.065050505050507,Aug
27.476403326403325,Sep
24.621052631578944,Oct
21.096165803108807,Nov
18.062487360970678,Dec
