city,Kharif_min,Rabi_min,Autumn_min,Summer_min,Winter_min,Kharif_max,Rabi_max,Autumn_max,Summer_max,Winter_max,Annual_min,Annual_max
mirzapur,29.0,19.67,23.33,23.33,13.0,39.0,32.33,33.33,41.33,27.33,22.42,35.75
muktsar,28.75,19.0,23.67,21.33,10.33,40.0,36.0,39.33,42.33,26.0,21.17,36.92
muradabad,26.5,18.0,22.0,21.33,11.67,40.5,31.67,36.33,41.33,25.67,20.33,36.0
murshidabad,27.0,22.33,25.33,23.33,15.33,35.75,33.33,34.67,37.33,29.33,22.75,34.25
muzaffarnagar,26.75,18.0,22.0,20.67,11.0,40.0,31.33,35.67,41.33,24.0,20.17,35.42
nadia,27.0,22.0,25.0,23.67,16.0,35.5,34.0,34.67,38.33,29.0,22.92,34.42
nagpur,27.25,18.0,21.33,27.67,15.67,35.75,31.67,32.0,44.0,31.67,23.17,36.17
namakkal,24.0,21.33,23.0,23.33,19.67,33.25,31.33,31.67,39.33,32.0,22.5,34.17
north_tripura,24.75,22.0,24.33,23.33,15.33,32.25,31.33,31.67,34.0,29.67,21.92,31.83
nowarangpur,27.75,21.67,24.33,24.67,18.33,36.5,33.67,34.67,38.33,32.0,23.83,35.42
panchmahalsvadodara(baroda),15.25,14.67,15.0,17.0,16.33,21.25,24.33,22.67,28.0,28.67,15.92,25.17
pune,22.75,17.67,19.67,22.33,17.0,30.0,30.67,29.33,39.33,32.0,20.5,32.83
puruliya,27.0,20.33,23.33,22.67,15.33,35.75,31.67,33.0,40.67,28.67,22.17,34.58
saharanpur,27.0,18.0,22.0,20.67,11.0,39.75,30.67,34.67,41.0,24.0,20.25,35.08
salem,22.25,19.33,21.0,21.33,18.33,32.25,30.33,30.67,39.33,31.67,20.75,33.5
satara,21.25,17.0,19.33,21.33,16.67,29.0,29.33,29.0,38.33,31.33,19.58,31.83
sheopur,28.0,19.0,23.0,25.0,13.33,36.0,33.33,35.67,41.67,27.0,22.5,35.08
sholapur,25.5,19.33,22.0,26.0,19.67,34.0,31.33,31.67,41.67,32.67,23.33,35.0
sivaganga,27.5,23.33,25.0,25.67,21.67,34.75,31.67,32.33,40.33,32.0,25.08,35.0
sonbhadra,28.75,19.33,23.33,22.67,13.33,38.75,33.33,34.67,42.67,27.0,22.17,36.17
sonitpur,25.0,19.67,22.67,20.67,14.0,30.75,32.67,32.33,32.67,25.0,20.58,30.33
sounth_24_parganas,20.75,20.33,20.33,22.0,21.67,28.75,30.67,29.67,32.67,35.33,21.25,31.42
south_andaman,26.75,27.0,27.0,27.67,27.33,28.0,28.33,28.0,30.0,28.33,27.17,28.58
sundergarh,27.5,18.67,22.33,23.0,14.67,36.5,31.67,32.67,43.33,30.0,22.0,35.83
tarntaran,29.75,20.67,25.33,22.0,12.0,42.25,35.67,40.0,42.0,25.0,22.33,37.33
thirssur,24.5,23.0,23.67,24.33,22.67,28.5,30.0,28.0,33.67,32.67,23.83,30.83
thiruvananthapuram,24.5,23.0,23.67,24.33,22.67,28.5,30.0,28.0,33.67,32.67,23.83,30.83
thoubal,20.0,15.67,17.33,15.0,9.0,28.5,30.0,29.0,31.33,24.33,15.42,28.5
tonk,27.5,20.33,25.0,24.0,13.0,35.75,33.67,36.33,41.0,27.0,22.33,34.83
uttar_dinajpur,27.25,22.0,24.67,23.67,17.0,35.0,32.0,33.0,37.67,28.67,23.17,33.58
vellore,24.75,20.67,22.0,22.67,19.0,36.25,27.67,29.0,41.0,30.33,22.25,34.42
villupuram,27.0,23.33,24.67,24.33,20.67,37.25,30.33,31.67,41.0,31.33,24.33,35.5
baghpat,28.0,19.33,24.0,21.67,11.0,39.75,33.67,36.67,40.67,25.0,21.17,35.67
bangalore,21.25,17.67,19.67,21.33,17.67,29.25,23.67,24.67,37.0,28.33,19.92,29.75
bhadohi(sant_ravi_nagar),29.0,20.0,23.67,23.0,13.33,39.0,33.0,34.0,42.0,27.0,22.5,36.0
chitrakut,28.75,19.33,23.33,22.67,13.33,38.75,33.33,34.67,42.67,27.0,22.17,36.17
dehradoon,22.25,15.33,18.33,19.67,10.33,34.5,27.0,29.33,36.33,21.67,17.58,30.75
east_khasi_hills,25.25,10.33,17.67,15.33,5.33,40.0,21.0,31.67,27.0,10.67,16.0,27.42
farukhabad,26.5,14.33,18.67,16.0,7.33,38.75,22.67,30.33,28.33,12.67,17.42,27.67
firozpur,28.5,19.0,23.67,20.67,10.0,40.25,34.67,39.0,41.0,24.33,20.83,36.17
gajapati,27.75,21.67,24.33,24.67,18.33,36.5,33.67,34.67,38.33,32.0,23.83,35.42
jalandhar,26.0,18.67,23.33,20.0,10.67,35.67,33.33,36.67,39.0,22.67,19.36,33.09
kannuj,28.75,19.33,23.33,22.67,13.33,38.75,33.33,34.67,42.67,27.0,22.17,36.17
kannur,25.0,23.0,24.0,25.0,22.67,28.5,31.67,30.33,34.33,33.33,24.17,31.58
kanpur,29.25,20.0,24.0,23.67,13.67,38.0,32.0,34.0,41.33,26.0,22.83,35.17
kasargod,24.5,23.0,23.67,24.33,22.67,28.5,30.0,28.0,33.67,32.67,23.83,30.83
ludhiana,27.5,18.67,23.33,20.33,10.0,39.0,32.67,36.67,39.0,22.67,20.33,34.42
mau(maunathbhanjan),28.75,19.67,23.67,22.33,13.0,38.0,33.33,34.67,41.33,26.67,22.08,35.5
mayurbhanja,27.75,21.67,24.33,24.67,18.33,36.5,33.67,34.67,38.33,32.0,23.83,35.42
medinipur(w),27.5,21.33,24.33,24.67,16.67,36.75,32.33,33.33,39.33,29.67,23.33,34.83
meerut,28.5,20.0,24.33,22.67,12.0,40.5,32.33,36.67,41.33,24.33,21.92,35.83
muradabad,26.5,18.0,22.0,21.33,11.67,40.5,31.67,36.33,41.33,25.67,20.33,36.0
nowarangpur,27.75,21.67,24.33,24.67,18.33,36.5,33.67,34.67,38.33,32.0,23.83,35.42
panchmahals,27.75,22.33,25.67,24.33,17.67,36.25,35.67,35.67,42.67,33.33,23.83,37.17
panipat,28.5,19.33,24.0,21.67,11.0,40.25,33.67,37.0,41.0,24.67,21.33,35.83
puruliya,27.0,20.33,23.33,22.67,15.33,35.75,31.67,33.0,40.67,28.67,22.17,34.58
raisen,26.25,17.67,21.33,24.67,13.0,33.25,31.67,31.67,41.0,28.0,21.5,33.83
sehore,25.5,17.67,21.0,24.33,14.0,33.0,31.33,30.33,41.0,28.0,21.33,33.58
sholapur,25.5,19.33,22.0,26.0,19.67,34.0,31.33,31.67,41.67,32.67,23.33,35.0
sonipat,28.75,20.67,25.33,22.33,12.0,40.25,34.33,37.67,40.67,24.67,22.08,35.92
sonitpur,24.75,19.67,22.67,20.67,14.0,30.5,32.67,32.33,32.67,24.67,20.5,30.17
south_24_parganas,28.0,22.33,25.0,24.33,17.67,36.0,32.33,33.0,37.67,30.33,23.83,34.33
sundergarh,27.5,18.67,22.33,23.0,14.67,36.5,31.67,32.67,43.33,30.0,22.0,35.83
tarntaran,29.75,20.67,25.33,22.0,12.0,42.25,35.67,40.0,42.0,25.0,22.33,37.33
thirssur,24.5,23.0,23.67,24.33,22.67,28.5,30.0,28.0,33.67,32.67,23.83,30.83
thiruvananthapuram/kerala,24.5,23.0,23.67,24.33,22.67,28.5,30.0,28.0,33.67,32.67,23.83,30.83
uttar_dinajpur,27.25,22.0,24.67,23.67,17.0,35.0,32.0,33.0,37.67,28.67,23.17,33.58
vadodara(baroda),15.25,14.67,15.0,17.0,16.33,21.25,24.33,22.67,28.0,28.67,15.92,25.17
villupuram,27.0,23.33,24.67,24.33,20.67,37.25,30.33,31.67,41.0,31.33,24.33,35.5
